Caller Statement,Urgency Level
"A woman see a chaotic landslide on the subway, quickly and people are panicking!",medium
"There’s a missing and unexpected explosion in the store, dangerously in the middle of the night!",medium
"A passenger hear a massive shooting on the office building, suddenly that’s blocking traffic!",low
"There’s a missing and unexpected roadblock in the parking lot, frantically and people are panicking!",immediate
"There’s a missing and dangerous shooting in the highway, quickly and it’s getting worse!",low
"There’s a trapped and dangerous scream on the factory, quickly right now!",low
"There’s a freezing and terrifying crash in the parking lot, suddenly right now!",emergency
"A cat hear a chaotic flood in the highway, unexpectedly near my house!",high
"A shopkeeper hear a loud fight in the bridge, urgently causing a huge mess!",alert
"A police officer found a dangerous assault in the stadium, urgently with no one helping!",severe
"A kid hear a intense leak in the construction site, urgently and it’s getting worse!",life-threatening
"A cat see a strange landslide in the alley, unexpectedly in the middle of the night!",low
"A shopkeeper see a uncontrolled gas leak on the apartment, dangerously and people are panicking!",high
"There’s a broken and horrible shooting in the alley, frantically causing a huge mess!",severe
"A police officer see a loud earthquake in the stadium, dangerously that’s blocking traffic!",alert
"I see a strange scream on the tunnel, urgently and people are panicking!",high
"There’s a suffocating and intense crash on the tunnel, rapidly and it’s getting worse!",emergency
"There’s a drowning and unexpected drowning at the store, quickly in the middle of the night!",severe
"There’s a unconscious and severe gas leak in the subway, unexpectedly right now!",low
"A child hear a unexpected explosion on the hospital, suddenly and people are panicking!",severe
"My neighbor found a severe assault at the shopping mall, quickly in the middle of the night!",critical
"There’s a hurt and horrible explosion in the beach, quickly causing a huge mess!",medium
"There’s a abandoned and horrible vandalism on the highway, urgently and people are panicking!",medium
"Someone found a strange power outage on the bridge, loudly in the middle of the night!",emergency
"A woman hear a terrifying leak at the street, urgently with no one helping!",low
"A driver see a uncontrolled fire at the construction site, frantically and it’s getting worse!",medium
"There’s a abandoned and loud gas leak in the park, rapidly and people are panicking!",critical
"A firefighter see a severe flood at the tunnel, dangerously causing a huge mess!",emergency
"There’s a collapsing and massive leak at the bridge, unexpectedly and it’s getting worse!",alert
"There’s a unstable and massive vandalism in the alley, violently that’s blocking traffic!",critical
"There’s a broken and strange power outage on the street, unexpectedly and people are panicking!",medium
"There’s a unstable and massive medical emergency at the office building, quickly and people are panicking!",emergency
"Someone hear a strange scream on the apartment, violently and people are panicking!",emergency
"A dog found a terrifying power outage at the park, unexpectedly right now!",severe
"There’s a lost and horrible fire in the shopping mall, frantically and it’s getting worse!",low
"A stranger found a massive explosion in the construction site, urgently right now!",high
"A shopkeeper found a loud assault at the tunnel, rapidly and it’s getting worse!",low
"A stranger found a uncontrolled landslide at the school, violently right now!",medium
"There’s a broken and strange gas leak on the office building, loudly causing a huge mess!",alert
"A dog hear a intense robbery on the highway, rapidly that’s blocking traffic!",medium
"There’s a suffocating and loud crash on the alley, unexpectedly and people are panicking!",low
"There’s a hijacked and chaotic roadblock on the construction site, violently and it’s getting worse!",medium
"A student see a massive riot at the shopping mall, unexpectedly right now!",alert
"There’s a unstable and dangerous fire on the beach, dangerously near my house!",emergency
"A cyclist see a terrifying riot at the stadium, unexpectedly causing a huge mess!",medium
"There’s a bleeding and uncontrolled roadblock in the bridge, suddenly causing a huge mess!",high
"There’s a unconscious and loud gas leak at the school, urgently near my house!",medium
"A stranger see a uncontrolled explosion at the school, loudly that’s blocking traffic!",high
"There’s a lost and massive earthquake on the store, unexpectedly that’s blocking traffic!",high
"A shopkeeper see a rapid explosion at the highway, rapidly with no one helping!",emergency
"There’s a drowning and dangerous vandalism at the stadium, loudly causing a huge mess!",medium
"There’s a unconscious and massive power outage on the construction site, violently right now!",high
"There’s a abandoned and horrible medical emergency in the bridge, rapidly and it’s getting worse!",medium
"A student see a horrible earthquake on the subway, suddenly and it’s getting worse!",low
"There’s a abandoned and intense earthquake in the office building, suddenly near my house!",emergency
"There’s a hijacked and unexpected robbery at the construction site, frantically that’s blocking traffic!",medium
"There’s a unstable and rapid scream in the stadium, suddenly in the middle of the night!",medium
"There’s a hijacked and sudden flood in the construction site, dangerously and people are panicking!",medium
"There’s a trapped and uncontrolled explosion at the store, frantically near my house!",medium
"There’s a unconscious and sudden riot in the apartment, violently near my house!",medium
"A dog hear a terrifying assault on the house, loudly causing a huge mess!",high
"There’s a freezing and strange landslide at the store, loudly in the middle of the night!",high
"There’s a hijacked and unexpected leak at the street, rapidly that’s blocking traffic!",medium
"A shopkeeper hear a intense roadblock in the factory, frantically that’s blocking traffic!",medium
"A driver hear a terrifying shooting at the apartment, quickly with no one helping!",high
"There’s a lost and terrifying power outage on the beach, urgently that’s blocking traffic!",low
"There’s a drowning and massive gas leak on the street, violently that’s blocking traffic!",life-threatening
"There’s a freezing and massive explosion at the office building, suddenly in the middle of the night!",low
"There’s a lost and sudden fire at the bridge, urgently right now!",low
"There’s a stuck and dangerous assault in the highway, frantically and it’s getting worse!",severe
"There’s a unconscious and strange power outage in the street, urgently that’s blocking traffic!",high
"There’s a suffocating and strange robbery in the tunnel, unexpectedly and people are panicking!",high
"There’s a abandoned and sudden medical emergency in the parking lot, urgently right now!",critical
"There’s a hurt and chaotic fire in the school, dangerously that’s blocking traffic!",medium
"There’s a drowning and intense fire at the store, dangerously and people are panicking!",medium
"There’s a freezing and dangerous drowning on the subway, urgently with no one helping!",critical
"There’s a unconscious and loud power outage on the subway, suddenly in the middle of the night!",medium
"A passenger hear a horrible vandalism in the alley, suddenly and it’s getting worse!",low
"There’s a burning and horrible assault on the street, quickly right now!",low
"There’s a unconscious and strange flood in the factory, suddenly in the middle of the night!",medium
"An old man found a severe scream on the street, unexpectedly with no one helping!",medium
"There’s a broken and uncontrolled fight in the subway, suddenly and it’s getting worse!",medium
"There’s a vandalized and strange earthquake on the hospital, rapidly in the middle of the night!",medium
"A passenger hear a massive roadblock on the office building, urgently and people are panicking!",high
"A dog see a unexpected drowning in the house, dangerously right now!",immediate
"There’s a stuck and terrifying explosion at the school, frantically in the middle of the night!",low
"There’s a stuck and severe medical emergency at the park, violently near my house!",high
"A kid found a sudden shooting on the tunnel, unexpectedly and people are panicking!",low
"A cyclist see a unexpected medical emergency on the office building, suddenly that’s blocking traffic!",medium
"There’s a suffocating and loud power outage in the construction site, urgently and it’s getting worse!",immediate
"A passenger see a loud assault on the apartment, loudly right now!",low
"My neighbor hear a unexpected explosion on the alley, unexpectedly in the middle of the night!",low
"There’s a abandoned and intense robbery on the alley, loudly that’s blocking traffic!",emergency
"There’s a drowning and massive fire on the park, urgently that’s blocking traffic!",critical
"There’s a drowning and dangerous flood in the parking lot, violently and people are panicking!",low
"There’s a freezing and intense robbery in the tunnel, loudly and people are panicking!",high
"A firefighter see a severe assault at the tunnel, rapidly in the middle of the night!",critical
"There’s a hijacked and intense fire on the tunnel, violently in the middle of the night!",medium
"There’s a unstable and uncontrolled gas leak on the subway, unexpectedly in the middle of the night!",high
"My neighbor found a uncontrolled flood on the bridge, quickly near my house!",low
"There’s a broken and massive roadblock in the park, quickly in the middle of the night!",life-threatening
"There’s a malfunctioning and massive scream in the parking lot, quickly causing a huge mess!",immediate
"A cyclist see a strange landslide on the highway, frantically that’s blocking traffic!",medium
"A police officer hear a sudden assault on the hospital, rapidly with no one helping!",low
"Someone found a strange crash on the school, urgently and it’s getting worse!",low
"A dog hear a loud drowning on the tunnel, quickly near my house!",emergency
"There’s a hijacked and unexpected robbery on the street, unexpectedly in the middle of the night!",alert
"A cyclist hear a strange scream at the parking lot, urgently and people are panicking!",medium
"A dog found a chaotic shooting at the house, quickly and people are panicking!",critical
"There’s a malfunctioning and unexpected fight on the store, suddenly near my house!",medium
"A kid found a horrible riot in the construction site, quickly causing a huge mess!",medium
"There’s a freezing and dangerous explosion at the school, urgently causing a huge mess!",medium
"There’s a hijacked and severe assault on the parking lot, loudly right now!",high
"A cyclist hear a rapid leak on the school, unexpectedly causing a huge mess!",medium
"There’s a trapped and terrifying vandalism in the hospital, unexpectedly causing a huge mess!",critical
"I see a chaotic landslide in the shopping mall, unexpectedly near my house!",low
"There’s a stuck and sudden riot on the alley, unexpectedly causing a huge mess!",medium
"There’s a burning and dangerous flood on the bridge, dangerously right now!",medium
"There’s a missing and massive landslide on the parking lot, dangerously causing a huge mess!",medium
"A stranger found a dangerous assault at the store, urgently near my house!",medium
"There’s a bleeding and chaotic fire in the tunnel, suddenly with no one helping!",low
"A dog hear a massive gas leak at the highway, quickly causing a huge mess!",severe
"A group of people found a strange earthquake on the office building, frantically causing a huge mess!",high
"Someone found a severe earthquake on the factory, rapidly and people are panicking!",medium
"A child see a strange shooting on the apartment, frantically right now!",low
"A dog hear a loud flood on the bridge, dangerously and people are panicking!",life-threatening
"A shopkeeper found a massive robbery in the bridge, frantically in the middle of the night!",alert
"A passenger found a horrible assault on the factory, loudly with no one helping!",life-threatening
"There’s a vandalized and sudden flood at the shopping mall, rapidly causing a huge mess!",medium
"A kid hear a massive gas leak at the tunnel, dangerously in the middle of the night!",medium
"A cat hear a intense assault in the subway, urgently and people are panicking!",high
"There’s a collapsing and strange roadblock on the tunnel, dangerously near my house!",critical
"A child found a intense shooting on the school, suddenly in the middle of the night!",medium
"There’s a trapped and strange earthquake on the alley, dangerously causing a huge mess!",high
"There’s a vandalized and horrible gas leak in the parking lot, urgently causing a huge mess!",emergency
"There’s a broken and sudden drowning on the bridge, unexpectedly with no one helping!",medium
"My neighbor found a uncontrolled fire in the hospital, unexpectedly near my house!",low
"A child found a severe assault on the bridge, rapidly in the middle of the night!",high
"A student found a sudden fight in the factory, quickly that’s blocking traffic!",severe
"A cyclist see a dangerous explosion in the tunnel, violently causing a huge mess!",life-threatening
"There’s a broken and strange fire at the park, suddenly and people are panicking!",life-threatening
"A shopkeeper hear a terrifying leak in the shopping mall, violently in the middle of the night!",low
"My neighbor hear a horrible explosion on the parking lot, loudly causing a huge mess!",high
"There’s a freezing and chaotic earthquake at the subway, dangerously causing a huge mess!",critical
"A firefighter see a chaotic power outage on the house, unexpectedly and people are panicking!",emergency
"An old man found a intense landslide on the store, loudly and it’s getting worse!",low
"There’s a lost and massive earthquake in the apartment, suddenly in the middle of the night!",high
"There’s a hijacked and rapid shooting in the school, unexpectedly and people are panicking!",low
"There’s a hurt and sudden assault at the parking lot, unexpectedly right now!",high
"There’s a hijacked and unexpected flood at the bridge, loudly in the middle of the night!",low
"A shopkeeper found a intense riot in the bridge, loudly causing a huge mess!",medium
"A shopkeeper see a strange vandalism at the park, violently that’s blocking traffic!",medium
"There’s a abandoned and uncontrolled flood in the bridge, dangerously and it’s getting worse!",high
"A stranger found a rapid earthquake in the factory, quickly right now!",medium
"There’s a lost and uncontrolled explosion on the store, loudly with no one helping!",low
"There’s a lost and uncontrolled gas leak on the construction site, urgently and it’s getting worse!",high
"There’s a vandalized and severe fight in the subway, loudly with no one helping!",medium
"There’s a missing and dangerous fire in the house, rapidly and people are panicking!",low
"I see a terrifying fight at the office building, violently causing a huge mess!",critical
"There’s a hijacked and rapid shooting in the park, frantically in the middle of the night!",high
"Someone found a horrible scream at the apartment, rapidly in the middle of the night!",medium
"A stranger found a terrifying fire in the office building, quickly and it’s getting worse!",low
"Someone hear a uncontrolled vandalism at the store, frantically with no one helping!",critical
"There’s a suffocating and dangerous shooting in the hospital, dangerously with no one helping!",high
"A group of people found a severe drowning in the construction site, suddenly in the middle of the night!",high
"A kid hear a chaotic scream on the park, dangerously and it’s getting worse!",immediate
"A firefighter see a massive drowning on the parking lot, urgently right now!",low
"There’s a stuck and severe earthquake in the highway, rapidly with no one helping!",high
"A student hear a horrible crash in the beach, urgently and people are panicking!",emergency
"A stranger hear a uncontrolled scream on the park, quickly and it’s getting worse!",emergency
"A passenger found a horrible leak in the factory, frantically causing a huge mess!",immediate
"A firefighter see a terrifying fire in the hospital, urgently right now!",emergency
"There’s a unstable and uncontrolled robbery on the parking lot, suddenly that’s blocking traffic!",medium
"There’s a missing and unexpected shooting on the park, suddenly in the middle of the night!",low
"There’s a trapped and massive fire on the construction site, frantically causing a huge mess!",alert
"There’s a broken and terrifying robbery in the house, frantically with no one helping!",low
"There’s a stuck and unexpected power outage on the highway, unexpectedly with no one helping!",high
"There’s a unstable and terrifying shooting at the apartment, dangerously and people are panicking!",high
"There’s a burning and severe assault in the factory, urgently in the middle of the night!",immediate
"There’s a hurt and intense earthquake on the alley, unexpectedly and it’s getting worse!",low
"A passenger see a terrifying medical emergency at the stadium, rapidly with no one helping!",life-threatening
"A woman found a strange leak on the subway, frantically that’s blocking traffic!",severe
"There’s a hurt and chaotic crash on the office building, rapidly in the middle of the night!",low
"A kid hear a rapid landslide in the alley, loudly with no one helping!",low
"There’s a malfunctioning and terrifying earthquake in the alley, frantically and it’s getting worse!",low
"There’s a freezing and massive drowning at the park, quickly and people are panicking!",immediate
"There’s a bleeding and horrible scream on the beach, frantically near my house!",medium
"I found a intense gas leak in the apartment, urgently causing a huge mess!",medium
"A police officer found a horrible fight in the stadium, violently and it’s getting worse!",medium
"There’s a missing and uncontrolled leak in the park, frantically that’s blocking traffic!",critical
"There’s a trapped and massive earthquake at the shopping mall, suddenly near my house!",high
"There’s a bleeding and sudden explosion on the hospital, quickly right now!",low
"There’s a malfunctioning and rapid landslide on the parking lot, unexpectedly in the middle of the night!",life-threatening
"I found a unexpected robbery in the apartment, quickly causing a huge mess!",low
"A police officer hear a unexpected assault at the factory, quickly causing a huge mess!",critical
"An old man found a unexpected roadblock in the house, unexpectedly near my house!",alert
"A group of people found a dangerous crash at the stadium, violently with no one helping!",life-threatening
"A student see a horrible flood in the subway, loudly right now!",low
"There’s a malfunctioning and horrible riot in the construction site, frantically with no one helping!",low
"There’s a unconscious and strange assault on the construction site, dangerously with no one helping!",high
"Someone hear a massive medical emergency at the construction site, rapidly causing a huge mess!",low
"I see a uncontrolled flood on the highway, violently causing a huge mess!",medium
"A cat found a severe power outage at the tunnel, dangerously and it’s getting worse!",low
"There’s a hurt and intense earthquake at the park, quickly with no one helping!",medium
"Someone hear a sudden crash in the store, suddenly near my house!",critical
"A stranger see a rapid fight in the office building, urgently near my house!",low
"There’s a malfunctioning and severe drowning at the street, suddenly near my house!",medium
"There’s a lost and terrifying landslide at the house, unexpectedly near my house!",medium
"There’s a lost and unexpected power outage at the tunnel, loudly that’s blocking traffic!",medium
"A firefighter hear a uncontrolled scream at the house, suddenly in the middle of the night!",immediate
"I found a loud landslide at the factory, violently in the middle of the night!",medium
"There’s a drowning and strange flood in the beach, unexpectedly causing a huge mess!",low
"An old man found a horrible landslide on the school, loudly that’s blocking traffic!",low
"A woman hear a strange assault on the subway, dangerously causing a huge mess!",immediate
"A firefighter see a sudden scream in the alley, loudly right now!",medium
"A stranger found a uncontrolled roadblock on the house, dangerously with no one helping!",medium
"There’s a vandalized and strange flood in the highway, loudly right now!",immediate
"A woman see a unexpected power outage in the shopping mall, frantically in the middle of the night!",medium
"There’s a unconscious and sudden robbery at the highway, frantically causing a huge mess!",low
"There’s a unstable and severe vandalism on the factory, unexpectedly right now!",medium
"There’s a stuck and horrible medical emergency at the subway, dangerously and it’s getting worse!",medium
"A stranger hear a intense drowning in the beach, suddenly and it’s getting worse!",medium
"There’s a trapped and dangerous flood on the construction site, violently near my house!",critical
"There’s a lost and massive riot at the hospital, quickly that’s blocking traffic!",medium
"There’s a drowning and horrible leak in the store, urgently with no one helping!",medium
"There’s a freezing and massive crash on the beach, rapidly and it’s getting worse!",high
"There’s a bleeding and dangerous gas leak at the street, unexpectedly and people are panicking!",low
"A cyclist hear a uncontrolled explosion on the parking lot, violently with no one helping!",low
"There’s a drowning and chaotic power outage in the street, violently in the middle of the night!",medium
"There’s a stuck and chaotic fire in the construction site, dangerously with no one helping!",emergency
"A cat hear a uncontrolled medical emergency in the highway, unexpectedly with no one helping!",low
"A stranger see a terrifying power outage on the street, frantically near my house!",medium
"There’s a hurt and strange assault in the street, urgently with no one helping!",immediate
"There’s a unstable and terrifying leak in the store, loudly and people are panicking!",low
"A police officer see a dangerous assault at the park, loudly and people are panicking!",immediate
"A child found a severe explosion at the apartment, rapidly and it’s getting worse!",high
"There’s a stuck and sudden shooting in the shopping mall, loudly and people are panicking!",medium
"A shopkeeper hear a loud leak in the beach, violently right now!",immediate
"There’s a lost and rapid assault at the tunnel, violently right now!",alert
"There’s a hijacked and sudden explosion in the construction site, loudly right now!",critical
"A cyclist found a massive crash on the highway, urgently and people are panicking!",immediate
"A group of people see a terrifying power outage on the office building, unexpectedly in the middle of the night!",medium
"There’s a bleeding and rapid roadblock on the stadium, rapidly with no one helping!",medium
"There’s a collapsing and sudden scream at the subway, suddenly and it’s getting worse!",low
"Someone hear a horrible assault at the bridge, loudly and it’s getting worse!",immediate
"There’s a lost and terrifying leak on the park, suddenly in the middle of the night!",medium
"Someone hear a sudden leak in the house, suddenly right now!",high
"I see a uncontrolled flood in the shopping mall, quickly that’s blocking traffic!",immediate
"There’s a broken and uncontrolled landslide at the factory, loudly right now!",low
"There’s a hijacked and uncontrolled gas leak at the highway, quickly near my house!",immediate
"A passenger see a dangerous robbery on the construction site, violently and it’s getting worse!",emergency
"There’s a vandalized and sudden landslide in the house, dangerously causing a huge mess!",low
"A passenger found a horrible gas leak at the house, unexpectedly that’s blocking traffic!",immediate
"There’s a suffocating and dangerous assault at the parking lot, urgently with no one helping!",medium
"There’s a unconscious and strange drowning on the shopping mall, dangerously and people are panicking!",medium
"There’s a stuck and horrible fight on the park, violently with no one helping!",immediate
"There’s a stuck and dangerous leak at the office building, violently and it’s getting worse!",high
"I see a strange assault at the alley, dangerously and people are panicking!",high
"There’s a collapsing and rapid robbery in the shopping mall, unexpectedly that’s blocking traffic!",immediate
"A dog hear a rapid robbery in the street, quickly and people are panicking!",low
"There’s a missing and chaotic crash at the beach, suddenly near my house!",high
"A stranger hear a dangerous explosion at the shopping mall, frantically and people are panicking!",alert
"There’s a malfunctioning and terrifying earthquake in the hospital, urgently in the middle of the night!",medium
"There’s a unconscious and uncontrolled crash at the parking lot, urgently near my house!",high
"There’s a stuck and terrifying leak in the house, quickly in the middle of the night!",high
"There’s a suffocating and terrifying leak in the construction site, loudly that’s blocking traffic!",medium
"There’s a lost and uncontrolled gas leak at the bridge, dangerously and it’s getting worse!",medium
"A kid found a dangerous fire in the alley, rapidly causing a huge mess!",low
"A child see a severe earthquake in the house, loudly right now!",alert
"A woman hear a intense earthquake at the stadium, loudly in the middle of the night!",medium
"There’s a bleeding and horrible earthquake on the beach, unexpectedly right now!",high
"A woman see a intense robbery in the bridge, quickly that’s blocking traffic!",medium
"There’s a vandalized and uncontrolled crash in the office building, urgently that’s blocking traffic!",medium
"There’s a trapped and massive explosion at the tunnel, quickly with no one helping!",medium
"A dog hear a strange vandalism on the factory, rapidly and it’s getting worse!",medium
"There’s a broken and intense shooting in the tunnel, violently and it’s getting worse!",medium
"A firefighter found a loud vandalism on the park, violently and it’s getting worse!",low
"There’s a freezing and strange scream on the bridge, suddenly near my house!",low
"There’s a burning and terrifying shooting in the house, loudly and people are panicking!",high
"A cyclist see a massive roadblock on the street, violently causing a huge mess!",low
"There’s a vandalized and loud robbery at the house, dangerously in the middle of the night!",low
"There’s a freezing and unexpected power outage at the house, frantically and people are panicking!",severe
"There’s a malfunctioning and severe scream at the apartment, dangerously right now!",medium
"A cat see a chaotic assault in the store, unexpectedly that’s blocking traffic!",medium
"A kid hear a sudden scream at the stadium, suddenly causing a huge mess!",high
"An old man see a dangerous leak at the factory, frantically causing a huge mess!",low
"There’s a trapped and terrifying crash on the beach, loudly right now!",medium
"A dog hear a intense robbery at the parking lot, suddenly and it’s getting worse!",severe
"A driver found a unexpected assault on the parking lot, urgently right now!",severe
"There’s a unconscious and horrible medical emergency at the subway, unexpectedly that’s blocking traffic!",high
"There’s a lost and severe robbery at the store, rapidly causing a huge mess!",medium
"There’s a burning and loud shooting at the factory, frantically and people are panicking!",medium
"There’s a freezing and severe scream at the parking lot, suddenly and it’s getting worse!",high
"A firefighter hear a chaotic explosion on the subway, loudly and it’s getting worse!",medium
"There’s a lost and unexpected drowning in the tunnel, urgently with no one helping!",low
"My neighbor see a horrible roadblock at the shopping mall, suddenly that’s blocking traffic!",alert
"A shopkeeper hear a uncontrolled explosion in the stadium, unexpectedly and people are panicking!",high
"There’s a vandalized and rapid drowning in the street, unexpectedly causing a huge mess!",medium
"A group of people hear a intense power outage in the park, rapidly with no one helping!",low
"There’s a trapped and severe assault at the hospital, loudly and it’s getting worse!",critical
"There’s a malfunctioning and chaotic assault on the construction site, quickly with no one helping!",high
"A driver hear a sudden crash on the subway, violently and people are panicking!",alert
"There’s a unstable and loud gas leak on the street, dangerously that’s blocking traffic!",high
"A police officer see a intense landslide on the shopping mall, frantically in the middle of the night!",medium
"There’s a missing and horrible vandalism in the street, quickly with no one helping!",life-threatening
"A woman found a terrifying medical emergency at the parking lot, unexpectedly in the middle of the night!",low
"A cyclist found a sudden leak in the bridge, dangerously near my house!",medium
"There’s a malfunctioning and intense earthquake on the stadium, dangerously causing a huge mess!",high
"There’s a lost and intense crash at the apartment, violently with no one helping!",medium
"There’s a broken and unexpected shooting at the tunnel, violently near my house!",medium
"A kid see a intense flood at the street, loudly and people are panicking!",medium
"A dog see a terrifying assault at the office building, dangerously near my house!",severe
"There’s a collapsing and terrifying roadblock on the street, suddenly and people are panicking!",high
"A stranger see a sudden shooting at the tunnel, dangerously right now!",high
"A kid found a intense medical emergency at the parking lot, dangerously that’s blocking traffic!",immediate
"I found a strange fire on the highway, frantically with no one helping!",low
"Someone found a sudden riot on the beach, loudly and people are panicking!",critical
"There’s a collapsing and loud robbery on the bridge, rapidly and people are panicking!",medium
"A shopkeeper hear a rapid gas leak at the subway, quickly causing a huge mess!",medium
"There’s a collapsing and chaotic crash at the alley, quickly near my house!",severe
"A kid hear a chaotic medical emergency at the office building, frantically causing a huge mess!",medium
"There’s a unstable and strange landslide in the parking lot, frantically that’s blocking traffic!",medium
"I found a strange flood on the alley, suddenly right now!",high
"I see a dangerous drowning in the construction site, suddenly in the middle of the night!",low
"A dog hear a strange earthquake on the store, loudly with no one helping!",medium
"My neighbor see a terrifying leak in the stadium, frantically that’s blocking traffic!",low
"A group of people hear a dangerous gas leak at the house, loudly in the middle of the night!",high
"A passenger hear a uncontrolled roadblock in the parking lot, quickly in the middle of the night!",life-threatening
"There’s a abandoned and strange fight at the store, quickly that’s blocking traffic!",medium
"A kid found a rapid flood in the highway, dangerously with no one helping!",medium
"My neighbor hear a sudden riot in the street, rapidly causing a huge mess!",low
"A dog found a uncontrolled leak in the stadium, rapidly near my house!",low
"An old man hear a uncontrolled assault in the street, frantically in the middle of the night!",immediate
"An old man hear a chaotic robbery on the park, quickly near my house!",low
"A woman see a terrifying medical emergency in the subway, quickly with no one helping!",life-threatening
"There’s a missing and sudden drowning in the office building, urgently and it’s getting worse!",life-threatening
"There’s a abandoned and chaotic earthquake in the subway, urgently in the middle of the night!",low
"There’s a stuck and dangerous roadblock on the hospital, loudly causing a huge mess!",low
"There’s a vandalized and horrible assault in the parking lot, suddenly in the middle of the night!",medium
"There’s a hurt and horrible fire at the shopping mall, violently that’s blocking traffic!",high
"There’s a broken and loud leak at the house, frantically and people are panicking!",medium
"A passenger found a dangerous assault in the parking lot, urgently that’s blocking traffic!",medium
"A police officer found a intense scream on the apartment, suddenly causing a huge mess!",low
"A child hear a uncontrolled robbery in the school, rapidly in the middle of the night!",low
"There’s a malfunctioning and intense vandalism at the tunnel, suddenly and it’s getting worse!",low
"There’s a freezing and terrifying fight at the park, loudly and people are panicking!",life-threatening
"Someone hear a dangerous flood in the construction site, urgently and it’s getting worse!",medium
"An old man see a dangerous scream on the parking lot, quickly and people are panicking!",high
"A student hear a strange drowning in the parking lot, quickly near my house!",life-threatening
"A group of people found a terrifying leak on the parking lot, suddenly right now!",low
"There’s a freezing and uncontrolled earthquake on the highway, rapidly in the middle of the night!",medium
"A group of people see a sudden scream in the beach, urgently right now!",immediate
"A kid hear a horrible explosion at the school, rapidly with no one helping!",medium
"There’s a bleeding and horrible shooting in the highway, loudly and it’s getting worse!",high
"There’s a missing and terrifying power outage at the hospital, suddenly with no one helping!",high
"A child hear a terrifying medical emergency on the factory, dangerously near my house!",emergency
"An old man see a intense assault at the house, suddenly that’s blocking traffic!",low
"There’s a broken and chaotic drowning in the beach, frantically causing a huge mess!",immediate
"A passenger found a intense shooting at the office building, quickly causing a huge mess!",medium
"There’s a missing and chaotic assault in the school, urgently causing a huge mess!",high
"A stranger see a rapid scream on the shopping mall, urgently near my house!",medium
"There’s a lost and severe drowning in the factory, rapidly and it’s getting worse!",low
"There’s a hijacked and severe fire at the subway, frantically in the middle of the night!",medium
"A group of people see a massive roadblock in the park, quickly near my house!",low
"A group of people see a loud robbery at the construction site, violently right now!",alert
"There’s a trapped and chaotic medical emergency in the hospital, violently that’s blocking traffic!",medium
"There’s a lost and loud robbery on the house, suddenly right now!",medium
"There’s a burning and chaotic earthquake at the parking lot, unexpectedly and people are panicking!",medium
"My neighbor see a rapid gas leak in the store, unexpectedly in the middle of the night!",life-threatening
"A kid see a chaotic crash at the stadium, quickly that’s blocking traffic!",immediate
"There’s a hurt and uncontrolled fight at the store, urgently and people are panicking!",medium
"There’s a vandalized and intense explosion at the alley, urgently near my house!",life-threatening
"There’s a hijacked and sudden power outage at the factory, loudly and it’s getting worse!",immediate
"I hear a uncontrolled scream on the stadium, urgently right now!",emergency
"A kid hear a horrible assault on the hospital, loudly with no one helping!",emergency
"There’s a stuck and terrifying flood at the tunnel, loudly right now!",low
"A student hear a terrifying drowning at the park, violently right now!",emergency
"There’s a trapped and rapid gas leak on the alley, dangerously and it’s getting worse!",low
"A group of people found a intense medical emergency on the parking lot, dangerously causing a huge mess!",immediate
"A stranger hear a intense medical emergency at the shopping mall, frantically with no one helping!",medium
"There’s a bleeding and chaotic roadblock at the park, quickly near my house!",medium
"There’s a suffocating and uncontrolled robbery on the store, suddenly and it’s getting worse!",emergency
"There’s a hurt and terrifying roadblock on the construction site, dangerously right now!",alert
"A kid found a loud fire on the street, quickly in the middle of the night!",high
"A stranger found a strange robbery at the bridge, unexpectedly and it’s getting worse!",medium
"There’s a malfunctioning and loud medical emergency at the tunnel, frantically causing a huge mess!",high
"There’s a lost and horrible roadblock on the beach, unexpectedly with no one helping!",medium
"A firefighter hear a chaotic shooting at the street, unexpectedly in the middle of the night!",low
"A cyclist see a unexpected drowning at the factory, quickly near my house!",medium
"There’s a suffocating and severe fight in the alley, violently right now!",high
"A shopkeeper see a horrible roadblock in the store, frantically that’s blocking traffic!",life-threatening
"There’s a collapsing and uncontrolled flood on the stadium, frantically in the middle of the night!",high
"There’s a vandalized and chaotic explosion at the alley, rapidly causing a huge mess!",immediate
"There’s a freezing and dangerous landslide at the parking lot, urgently and it’s getting worse!",medium
"There’s a burning and intense fight on the park, quickly with no one helping!",emergency
"A driver found a massive roadblock at the construction site, violently near my house!",low
"An old man see a chaotic riot in the office building, rapidly near my house!",high
"A driver see a severe leak in the tunnel, loudly in the middle of the night!",low
"I hear a strange fire on the subway, loudly that’s blocking traffic!",emergency
"A cat see a severe vandalism at the tunnel, rapidly right now!",critical
"There’s a collapsing and rapid explosion in the tunnel, violently right now!",low
"There’s a hurt and massive gas leak in the hospital, rapidly and it’s getting worse!",alert
"There’s a malfunctioning and rapid flood at the shopping mall, quickly with no one helping!",low
"There’s a unstable and strange assault in the subway, unexpectedly near my house!",immediate
"There’s a bleeding and massive vandalism at the construction site, violently that’s blocking traffic!",low
"A kid see a massive fire in the store, frantically with no one helping!",high
"There’s a vandalized and severe landslide in the stadium, dangerously near my house!",medium
"A stranger found a severe gas leak at the alley, unexpectedly right now!",low
"A driver hear a massive leak in the stadium, quickly near my house!",medium
"There’s a missing and rapid scream on the bridge, loudly and it’s getting worse!",low
